model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,0,round0,raw_v0,layer4.0.bn2.running_var,512,512,cpu,1940,1940,1940,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427866518497467,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.shortcut.0.weight,512x256x1x1,131072,cpu,138899,138899,138899,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751024767756462,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.shortcut.1.weight,512,512,cpu,1943,1943,1943,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1901444047689438,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.shortcut.1.bias,512,512,cpu,1935,1935,1935,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1487797126173973,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.shortcut.1.running_mean,512,512,cpu,1948,1948,1948,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15014037489891052,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.0.shortcut.1.running_var,512,512,cpu,1943,1943,1943,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14498550444841385,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.conv1.weight,512x512x3x3,2359296,cuda,2391075,9437184,9437184,3.9468373012138893,7046109,9437184,9437184,100.0,0.0,7.569470442831516,0.0,0.0,0.0,0.07827859371900558,0.0,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn1.weight,512,512,cpu,1941,1941,1941,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600496470928192,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn1.bias,512,512,cpu,1937,1937,1937,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15066564083099365,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer4.1.bn1.running_mean,512,512,cpu,1937,1937,1937,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14596432447433472,not_checked,,1
