model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,65536,73,24013187,10.040570,0.000000,9.901111,0.000000,9.876699,9.876699,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,74,24013187,9.628301,0.000000,10.092155,0.000000,10.070183,10.070183,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,75,24013187,9.808403,0.000000,9.715139,0.000000,9.692344,9.692344,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,76,24013187,9.994532,0.000000,9.826727,0.000000,9.806702,9.806702,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,77,24013187,9.618998,0.000000,10.011891,0.000000,9.988895,9.988895,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,78,24013187,9.724305,0.000000,9.676900,0.000000,9.654975,9.654975,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,79,24013187,9.938554,0.000000,9.842505,0.000000,9.821878,9.821878,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,80,24013187,9.640854,0.000000,10.046431,0.000000,10.025323,10.025323,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,81,24013187,9.752161,0.000000,9.662814,0.000000,9.640248,9.640248,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,82,24013187,10.012260,0.000000,9.793064,0.000000,9.771650,9.771650,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
